Order Customer Id,Customer Fname,Customer Lname,Customer Segment,Customer City,Customer State,Customer Country,Customer Street,Customer Zipcode
20755,Cally,Holloway,Consumer,Caguas,PR,Puerto Rico,5365 Noble Nectar Island,725.0
19492,Irene,Luna,Consumer,Caguas,PR,Puerto Rico,2679 Rustic Loop,725.0
19491,Gillian,Maldonado,Consumer,San Jose,CA,EE. UU.,8510 Round Bear Gate,95125.0
19490,Tana,Tate,Home Office,Los Angeles,CA,EE. UU.,3200 Amber Bend,90027.0
19489,Orli,Hendricks,Corporate,Caguas,PR,Puerto Rico,8671 Iron Anchor Corners,725.0
19488,Kimberly,Flowers,Consumer,Tonawanda,NY,EE. UU.,2122 Hazy Corner,14150.0
19487,Constance,Terrell,Home Office,Caguas,PR,Puerto Rico,1879 Green Pine Bank,725.0
19486,Erica,Stevens,Corporate,Miami,FL,EE. UU.,7595 Cotton Log Row,33162.0
19485,Nichole,Olsen,Corporate,Caguas,PR,Puerto Rico,2051 Dusty Route,725.0
19484,Oprah,Delacruz,Corporate,San Ramon,CA,EE. UU.,9139 Blue Blossom Court,94583.0
19483,Germane,Short,Corporate,Caguas,PR,Puerto Rico,4058 Quiet Heights,725.0
19482,Freya,Robbins,Consumer,Freeport,NY,EE. UU.,3243 Shady Corner,11520.0
19481,Cassandra,Jensen,Corporate,Salinas,CA,EE. UU.,131 Sunny Treasure Green,93905.0
19480,Natalie,Mcfadden,Corporate,Caguas,PR,Puerto Rico,2531 Wishing Square,725.0
19479,Kimberley,Sharpe,Corporate,Peabody,MA,EE. UU.,6417 Silver Towers,1960.0
19478,Sade,Lancaster,Corporate,Caguas,PR,Puerto Rico,257 Harvest Close,725.0
19477,Brynne,Giles,Corporate,Canovanas,PR,Puerto Rico,7342 Hazy Beacon Park,729.0
19476,Ciara,Bird,Corporate,Paramount,CA,EE. UU.,7787 Lazy Corners,90723.0
19475,Bo,Griffin,Consumer,Caguas,PR,Puerto Rico,5136 Rustic Pioneer Estates,725.0
19474,Kim,Simon,Consumer,Mount Prospect,IL,EE. UU.,1723 Tawny Via,60056.0
19473,Kellie,Farmer,Corporate,Long Beach,CA,EE. UU.,7111 Silent Fox Gardens,90813.0
19472,Alma,Conley,Corporate,Caguas,PR,Puerto Rico,3732 Old Mountain Bank,725.0
19471,Yeo,Bird,Corporate,Rancho Cordova,CA,EE. UU.,6217 Rustic Lake Forest,95670.0
19470,Lucy,Mcknight,Corporate,Caguas,PR,Puerto Rico,1082 Quiet Treasure Link,725.0
19469,Simone,Vance,Corporate,Billings,MT,EE. UU.,3176 Round Gate,59102.0
19468,Roary,Wheeler,Corporate,Caguas,PR,Puerto Rico,1426 Fallen Line,725.0
19467,Quail,Ashley,Consumer,Wilkes Barre,PA,EE. UU.,9814 Emerald Prairie Limits,18702.0
19466,Hannah,Velez,Corporate,Caguas,PR,Puerto Rico,8271 Tawny Elk Abbey,725.0
19465,Evelyn,Kelly,Corporate,Roseville,MI,EE. UU.,3931 Gentle Ramp,48066.0
19464,Jael,Mcfarland,Consumer,Bellflower,CA,EE. UU.,9699 Honey Rise,90706.0
19463,Teagan,Romero,Consumer,Caguas,PR,Puerto Rico,1564 Rocky Terrace,725.0
19462,Joan,Wilder,Consumer,Wheaton,IL,EE. UU.,4294 High Passage,60187.0
19461,Basia,Watts,Consumer,Caguas,PR,Puerto Rico,5918 Golden Beacon Freeway,725.0
